#Pathway	sample1	sample2	sample3	sample4	sample5
Oligogalacturonide lyase	 2.37889058510773e-06	 4.484829982662166e-06	 0	 7.25893359817848e-06	 2.7113160680048743e-06
Cellulase	 0	 0	 0	 0	 0
exopolygalacturonase	 0	 0	 0	 0	 0
Chitinase	 6.964380880466733e-06	 7.142147455646055e-06	 2.512913276579815e-05	 6.878838598665413e-06	 8.299352392617426e-06
Basic endochitinase B	 0	 0	 0	 0	 0
bifunctional chitinase/lysozyme	 0	 0	 0	 0	 0
beta-N-acetylhexosaminidase	 2.4828144182954984e-05	 0.0001181794366002989	 9.205841759170057e-06	 9.17322295729828e-05	 2.5361712613133575e-05
D-galacturonate isomerase	 2.2531713600773915e-06	 6.916905310093266e-07	 8.561291596908916e-08	 6.533178751558957e-05	 1.6096204376007467e-05
alpha-amylase	 0	 0	 0	 2.0644444150062735e-06	 1.90913428860914e-06
beta-glucosidase	 1.4804352135717468e-06	 4.326185481175533e-06	 1.323343058897531e-06	 0.00014690253781262665	 2.6912077260342427e-05
pullulanase	 1.8220839185256248e-06	 2.359213132250137e-06	 0	 1.5162689520361162e-05	 3.994052910963354e-06
glycolysis	 7.11781458888937e-05	 0.00024800794763419937	 4.2161279109081826e-05	 0.0002959174133487303	 0.00032093043201233783
Entner-Doudoroff pathway, glucose-6P -> glyceraldehyde-3P + pyruvate	 6.700011528729251e-06	 1.1503973607828456e-05	 1.6742649659071476e-06	 9.305634986681542e-05	 2.8446873368386548e-05
gluconeogenesis, oxaloacetate -> fructose-6P	 9.682599512723187e-05	 0.00030437895537242956	 6.57235071999724e-05	 0.00035320854278613975	 0.0003730375350462139
TCA Cycle	 3.636577952760672e-05	 0.00010867888089160005	 2.0815299308341227e-05	 0.00014128152077603082	 8.01279853916512e-05
Methanogenesis, methanol -> methane	 0.0	 0.0	 0.0	 0.0	 0.0
Methanogenesis, methylamine -> methane	 0.0	 0.0	 0.0	 0.0	 0.0
Methanogenesis, dimethylamine -> methane	 0.0	 0.0	 0.0	 0.0	 0.0
Methanogenesis, trimethylamine -> methane	 0.0	 0.0	 0.0	 0.0	 0.0
Methanogenesis, acetate -> methane	 1.139662676037328e-05	 2.4255259985116996e-05	 6.776028825764485e-06	 4.554925419543259e-05	 1.416506725144082e-05
Methanogenesis, CO2 -> methane	 8.487924109486884e-07	 1.2544507339414137e-06	 3.105165907762843e-08	 1.6299046687999702e-06	 1.385311754869057e-06
Methane oxidation, methane -> methanol	 1.5981814452654334e-05	 2.1880770878112636e-05	 4.609935208637629e-06	 3.342206708832041e-08	 0.0
Methane oxidation, methanol -> Formaldehyde	 0.0	 0.0	 0.0	 0.0	 0.0
Mixed acid: lactate (pyruvate -> lactate)	 0	 2.9788991650096534e-07	 0	 6.1495457200265104e-06	 1.3785484025834846e-06
Mixed acid: formate (pyruvate -> formate)	 0	 0	 0	 1.343205227202654e-06	 2.33123557234741e-07
Mixed acid: Formate -> CO2 & H2	 5.050037295157397e-06	 1.8913479351717838e-05	 4.22407161702681e-06	 1.789853943815289e-05	 1.2204325843263225e-05
Mixed acid: acetate	 2.4100841537385275e-05	 7.469150717243997e-05	 3.531934977773031e-05	 4.3331135252003535e-05	 8.606854121165122e-06
Mixed acid: acetate (pyruvate -> acetate)	 1.2255627100738976e-05	 3.7508837930644366e-05	 1.7659674888865155e-05	 1.3271561753360231e-05	 2.923284876011271e-06
Mixed acid: acetate (acetyl-CoA -> acetate)	 1.1845214436646299e-05	 3.718266924179561e-05	 1.7659674888865155e-05	 2.6214713855514827e-05	 5.683569245153851e-06
Mixed acid: acetate (lactate -> acetate)	 0	 0	 0	 3.844859643128481e-06	 0
Mixed acid: ethanol, acetate to acetylaldehyde	 3.728757485520337e-06	 5.455654616398523e-06	 3.210684989862574e-06	 6.665896570520424e-05	 1.0973538963444564e-05
Mixed acid: ethanol, acetyl-CoA to acetylaldehyde (reversible)	 1.9236732712516484e-05	 7.628324131838174e-05	 3.562232988060452e-05	 0.0001726764277903885	 0.00014438135148090735
Mixed acid: ethanol, acetylaldehyde to ethanol	 1.0641574163886327e-05	 3.055184159561468e-05	 1.2001166393881269e-05	 9.084364330250766e-05	 1.6715958125915387e-05
Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	 4.6259857205445676e-05	 0.00010023606914948153	 3.228362071880081e-05	 0.00019921352287973466	 0.00018732454004788038
Anaplerotic genes (pyruvate -> oxaloacetate)	 0.00011570252329999708	 0.0002266212318235569	 9.824129379693705e-05	 0.0006292122497082997	 0.0006115505901054782
Dissimilatory nitrate reduction to nitrite	 1.3953048115426464e-05	 3.802923082823416e-05	 2.470185352328523e-06	 9.327155256319263e-06	 3.5098100759132913e-06
Dissimilatory nitrite reduction to ammonia	 7.604321831460859e-06	 8.095464771214883e-05	 3.003717695917131e-06	 6.090948048920562e-05	 9.649075078427254e-06
Assimilatory nitrate reduction to nitrite	 0.0	 6.803323532666045e-07	 1.4527169977121225e-07	 4.055154655129624e-05	 1.427647966229296e-05
Assimilatory nitrite reduction to ammonia	 5.158843160092638e-07	 0	 5.471267861493083e-07	 1.2030234429718583e-05	 0
Denitrification, NO2 -> NO	 2.5747325341424133e-05	 2.0671938148911897e-05	 1.2062045743898917e-05	 4.760656847483255e-06	 1.2418507537968508e-06
Denitrification, NO -> N2O	 9.10930057229071e-06	 2.380882592951966e-06	 2.2289879907389986e-06	 1.220001754497317e-05	 5.601125647351789e-06
Denitrification, N2O -> N2	 3.4728046970044444e-06	 0	 1.1127520664990254e-06	 4.4897333873455095e-06	 1.4415107642081147e-06
Nitrogen fixation	 0.0	 0.0	 0.0	 2.070074928311707e-06	 5.310614748231402e-07
Nitrification, ammonia -> hydroxylamine (AmoCAB)	 1.5981814452654334e-05	 2.1880770878112636e-05	 4.609935208637629e-06	 3.342206708832041e-08	 0.0
Nitrification, hydroxylamine -> nitrite (hao)	 3.263586151013269e-07	 3.2220814713724356e-07	 0	 0	 0
Nitrification, nitrite -> nitrate (nxrAB)	 7.87578468818623e-06	 5.361036770382941e-06	 1.1912771863747288e-06	 7.036841664535833e-06	 1.9311081696016233e-06
Anammox, NO + NH3 -> N2H4	 1.1651969826269425e-05	 1.559542201418882e-05	 2.28191060690501e-06	 2.0117147007510678e-05	 8.304633106818197e-06
Anammox, N2H4 -> N2	 2.12563811062543e-06	 5.796391539886748e-07	 4.443894629771129e-07	 2.9995981157301265e-07	 1.8965921727451243e-07
Assimilatory sulfate reduction to sulfite	 1.2378208180416618e-05	 4.613939998646902e-05	 8.773667838398497e-06	 8.919035624839814e-05	 2.8699959066000415e-05
Assimilatory sulfite reduction to sulfide (cysJI, sir)	 4.854762932791483e-07	 2.4299584136819024e-06	 9.46575700274385e-07	 4.404730794196126e-05	 1.489359137655179e-05
Dissimilatory sulfate reduction to sulfite (reversible)	 7.914077659775358e-05	 0.0003285557350872991	 5.593840069671028e-05	 0.0001577362608479525	 9.503522245989573e-05
Dissimilatory sulfite reduction to sulfide (reversible)	 2.6165395802811605e-05	 0.00013417199892145842	 3.871882276896341e-06	 5.513034187921773e-07	 2.122879001136967e-06
Thiosulfate oxidation by SOX complex, thiosulfate -> sulfate	 1.3861105982618843e-05	 8.599855356487525e-05	 4.815380873501103e-06	 2.228902388744403e-05	 1.082105758555026e-05
Alternative thiosulfate oxidation (doxAD)	 9.234914590280777e-07	 9.005544491341038e-07	 9.21003090050254e-08	 6.933147984709086e-07	 1.2278919428325633e-07
Alternative thiosulfate oxidation (tsdA)	 0	 2.4594795852608496e-06	 1.56445276670736e-07	 2.9278026435592477e-06	 8.766153428156918e-07
Thiosulfate oxidation (SOX, doxAD and tsdA)	 1.4784597441646922e-05	 8.93585875992702e-05	 5.063926459176864e-06	 2.5910141329474187e-05	 1.1820462122649208e-05
Sulfur reduction, sulfur -> sulfide (sreABC)	 0.0	 0.0	 0.0	 0.0	 0.0
Thiosulfate disproportionation, thiosulfate -> sulfide & sulfite (phsABC)	 8.981811956128559e-08	 0.0	 0.0	 0.0	 0.0
Sulfhydrogenase, (sulfide)n -> (sulfide)n-1	 4.131010227807842e-07	 0.0	 0.0	 0.0	 0.0
Sulfur disproportionation, sulfur -> sulfide & sulfite	 0	 0	 0	 0	 0
Sulfur dioxygenase	 2.2652883418335615e-05	 7.634655112421181e-05	 1.4983412460457812e-05	 2.76711319294453e-05	 2.8024213127932184e-05
Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC)	 3.505017498689006e-05	 0.00010536939377882956	 2.7856434014111924e-05	 8.918115069123262e-05	 4.454646225808341e-05
Sulfide oxidation, sulfide -> sulfur (fccAB)	 3.982857992509055e-06	 1.2569767154706628e-05	 3.3739535812798693e-06	 1.2228525232345229e-05	 5.35364042746548e-06
F-type ATPase	 4.157959887898299e-05	 0.00015874203508177488	 2.34926962325258e-05	 0.00020348358530150514	 0.0001513490239076591
V/A-type ATPase	 1.1833436738739185e-05	 2.2829477582163552e-05	 8.031895194381877e-06	 2.637720869122727e-06	 4.176654390483198e-06
NADH-quinone oxidoreductase	 5.185577925867025e-05	 0.00017589134555592723	 2.7139128312870836e-05	 8.851727532802448e-05	 6.31977732980645e-05
NAD(P)H-quinone oxidoreductase	 0.0	 0.0	 9.898041676806674e-08	 1.5032621799834711e-05	 1.577828542165083e-05
Succinate dehydrogenase (ubiquinone)	 0.0	 0.0	 0.0	 3.350476793063004e-07	 1.3001198932646571e-07
Cytochrome c oxidase, cbb3-type	 1.2166507704702712e-05	 8.675700459025039e-05	 1.9809774477878505e-06	 5.82205097367029e-05	 6.5078994746065565e-06
Cytochrome bd ubiquinol oxidase	 1.2054858592936743e-05	 3.933053365745866e-06	 1.7675602543307342e-06	 9.875013413726044e-05	 1.939453913723128e-05
Cytochrome o ubiquinol oxidase	 0.0	 2.4490610901853488e-08	 2.314135784339532e-08	 2.417503711083769e-05	 4.161239718282375e-06
Cytochrome c oxidase, prokaryotes	 4.7197340005295087e-05	 0.00018471584362820853	 1.9584383170111933e-05	 0.0001404085521900431	 8.775744151846989e-05
Cytochrome aa3-600 menaquinol oxidase	 0.0	 0.0	 0.0	 0.0	 0.0
Cytochrome bc1 complex	 9.370368300395749e-06	 3.317148463746654e-05	 7.483171217876931e-06	 4.034014787941439e-05	 2.8481162947674373e-05
Phosphate transporter	 8.400697149757237e-06	 4.163476729524929e-06	 2.1774495949552255e-06	 0.00021623298068542516	 0.0001421844261015832
Phosphonate transporter	 3.363998300720516e-05	 7.95558274046366e-05	 3.449665166828132e-05	 8.9206164482268e-05	 4.787567112500744e-05
Thiamin transporter	 1.2313910207002405e-06	 3.6842231531207385e-06	 2.3351250645571746e-06	 1.0742617666353875e-05	 6.87636832989438e-06
Vitamin B12 transporter	 0.0	 0.0	 0.0	 4.0848334914117206e-06	 1.2192955354389724e-06
Urea transporter	 6.1470133570049135e-06	 1.7164245281223525e-05	 2.239394571732727e-06	 3.630821593146911e-05	 1.1493161912220347e-05
Type I Secretion	 1.1256823872687022e-06	 1.5288125460756628e-06	 3.463641638000914e-07	 3.112687768198036e-05	 1.0284984859543838e-05
Type III Secretion	 0.0	 0.0	 0.0	 8.617599169373528e-08	 6.51220942814423e-08
Type II Secretion	 9.299919788799026e-06	 1.8188668469926002e-05	 3.612589301106724e-06	 5.34661313878514e-05	 1.4608556764075237e-05
Type IV Secretion	 4.153712100512535e-08	 0.0	 9.828876718535382e-09	 2.5833974228646064e-05	 3.4198465799486497e-06
Type VI Secretion	 8.362050388499864e-07	 2.2804040514844203e-07	 8.187133247127255e-08	 1.2384884636828986e-05	 3.716607834900449e-06
Sec-SRP	 3.507119039973129e-05	 0.0001382351718974274	 2.0974276961753813e-05	 0.0001564701858163961	 0.00013529791735773236
Twin arginine targeting	 5.0691716927693054e-05	 0.00015253086614103786	 2.919812736645518e-05	 0.00011215887135997048	 0.00011369504656478437
Type Vabc secretion	 0.0	 0.0	 0.0	 0.0	 0.0
Bacterial chemotaxis	 4.737711885023099e-06	 9.882904577423994e-06	 3.6314935204501405e-06	 8.445640604176964e-05	 2.1833267935181802e-05
Flagellum assembly	 9.227596404500068e-06	 2.063207952200425e-05	 6.67305567339137e-06	 7.404679555605741e-05	 2.4110331815182066e-05
Dissimilatory arsenic reduction	 1.9418641264304274e-05	 4.719069747418475e-05	 8.170371446215105e-06	 8.849511426320034e-05	 3.7716802063506224e-05
